Ano de eleição;Cargo;Cor/raça;Detalhe da situação de candidatura;Estado civil;Faixa etária;Gênero;Grau de instrução;Município;Nacionalidade;Ocupação;Sigla partido;Situação de candidatura;Situação de totalização;UF;Região
2014;Governador;Parda;Deferido;Casado(a);65 a 69 anos;Masculino;Superior completo;AMAZONAS;Brasileira nata;Governador;PROS;Apto;Eleito;AM;NORTE
2014;Governador;Parda;Deferido;Casado(a);65 a 69 anos;Masculino;Superior completo;PARÁ;Brasileira nata;Governador;PSDB;Apto;Eleito;PA;NORTE
2014;Governador;Parda;Deferido;Casado(a);65 a 69 anos;Masculino;Superior completo;RONDÔNIA;Brasileira nata;Governador;PMDB;Apto;Eleito;RO;NORTE
2014;Governador;Parda;Deferido;Viúvo(a);75 a 79 anos;Masculino;Superior completo;AMAZONAS;Brasileira nata;Advogado;PDT;Apto;Eleito;AM;NORTE
2014;Governador;Parda;Deferido com recurso;Casado(a);50 a 54 anos;Masculino;Superior completo;AMAPÁ;Brasileira nata;Outros;PDT;Apto;Eleito;AP;NORTE
2014;Presidente;Branca;Deferido;Divorciado(a);65 a 69 anos;Feminino;Superior completo;BRASIL;Brasileira nata;Presidente da República;PT;Apto;Eleito;BR;INVALIDA
2014;Vice-governador;Branca;Deferido;Casado(a);40 a 44 anos;Feminino;Superior incompleto;TOCANTINS;Brasileira nata;Publicitário;PV;Apto;Eleito;TO;NORTE
2014;Vice-governador;Branca;Deferido;Casado(a);40 a 44 anos;Masculino;Superior completo;GOIÁS;Brasileira nata;Advogado;PP;Apto;Eleito;GO;CENTRO-OESTE
2014;Vice-governador;Branca;Deferido;Casado(a);40 a 44 anos;Masculino;Superior completo;RIO GRANDE DO NORTE;Brasileira nata;Advogado;PC do B;Apto;Eleito;RN;NORDESTE
2014;Vice-governador;Branca;Deferido;Casado(a);45 a 49 anos;Feminino;Superior completo;ACRE;Brasileira nata;Outros;PT;Apto;Eleito;AC;NORTE
2014;Vice-governador;Branca;Deferido;Casado(a);45 a 49 anos;Feminino;Superior completo;PARANÁ;Brasileira nata;Deputado;PROS;Apto;Eleito;PR;SUL
